,Aeu,Bab,Bal,Bfa,Bhy,Blu,Bra,Bse,Cal,Cca,Dbe,Dli,Del,Dgi,Dmc,Dmi,Dmu,Dna,Dwe,Eov,Esp1,Esp2,Ila,Lfs,Lfu,Llb,Llt,Lme,Lmy,Lpo,Ocu,Pat,Pce,Pcu,Pdi,Pma,Pmy,Pna,Ppl,Pte,Ptt,Ror,Rsc,Sal,Sar,Sbe,Sfs,Sfu,Sha,Sli,Spe,Spr,Ssi,Str,Sty,Tme,Tve,locality,hydroperiod,area,depth,lat,long,nvt,arbust_veg,arbor_veg,position_bi,dist_to_forest,position,canopy_cover,canopy_cover_cat,ecoregion
species_names,Aplastodiscus eugenioi,Boana albomarginata,Boana albopunctata,Boana Faber,Bokermannohyla hylax,Boana lundii,Boana raniceps,Boana semilineata,Chiasmocleis albopunctata,Chiasmocleis carvalhoi,Dendropsophus berthalutzae,Dendropsophus elianeae,Dendropsophus elegans,Dendropsophus giesleri,Dendropsophus microps,Dendropsophus minutus,Dermatonotus muelleri,Dendropsophus nanus,Dendropsophus Werneri,Elachistocleis ovalis,Elachistocleis sp1,Elachistocleis sp2,Itapotihyla langsdorffii,Leptodactylus fuscus,Leptodactylus furnarius,Leptodactylus labyrinthicus,Leptodactylus latrans,Leptodactylus mystaceus,Leptodactylus mystacinus,Leptodactylus podicipinus,Odontophrynus cultripes,Pseudopaludicola atragula,Physalaemus centralis,Physalaemus cuvieri,Phyllomedusa distincta,Physalaemus marmoratus,Pseudopaludicola mystacalis,Physalaemus nattereri,Pseudis platensis,Pseudopaludicola ternetzi,Physalaemus atlanticus,Rhinella ornata,Rhinella schineideri,Scinax alter,Sinax argyreornatus,Scinax berthae,Scinax fuscovarius,Scinax fuscomarginatus,Scinax hayii,Scinax littoralis,Scinax perereca,Scinax perpusillus,Scinax similis,Scinax trapicheiroi,Scinax tymbamirim,Trachycephalus mesophaeus,Trachycephalus venulosus,,,,,,,,,,,,,,,
ST1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,Santa Fé do Sul,0,960,0.25,-20.188889,-50.896389,2,1,0,0,83,0,0,0,SSF
ST2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Santa Fé do Sul,0,600,0.1,-20.184722,-50.894444,2,1,0,0,65,0,0,0,SSF
ST3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Santa Fé do Sul,0,56,0.18,-20.185556,-50.890556,1,0,0,0,152,0,0,0,SSF
ST4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,Santa Fé do Sul,0,50,0.8,-20.185278,-50.894444,1,0,0,0,89,0,0,0,SSF
ST5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Santa Fé do Sul,0,76.5,0.8,-20.178333,-50.892222,1,0,0,0,230,0,0,0,SSF
ST6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Santa Fé do Sul,1,230,2,-20.185278,-50.893611,2,1,0,0,109,0,0,0,SSF
ST7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Santa Fé do Sul,1,70,1,-20.184167,-50.894444,2,1,0,0,183,0,0,0,SSF
ST8,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Santa Fé do Sul,1,120,1.8,-20.184167,-50.8944445,2,1,0,0,212,0,0,0,SSF
IC1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Icém,0,350,0.3,-20.366389,-49.256667,1,0,0,0,546,0,0,0,SSF
